Title,News,Link,FeedType
"['IND vs ENG 1st Test Day 3 highlights: India 257-6 at Stumps, trails by 321']",Rishabh Pant and Cheteshwar Pujara's stunning performance helped revive India's first innings but Dom Bess dominated the hosts' batsmen to put England on top. Check India vs England highlights here,https://www.business-standard.com/article/sports/india-vs-eng-live-score-1st-test-day-3-india-vs-england-live-cricket-score-online-121020700078_1.html,— Business Standard
"['LIVE: Mamata depriving Bengal of central scheme benefits, says PM Modi']","During his visit to West Bengal Modi will also lay foundation stones for ""key infrastructure projects"". He will inaugurate a liquefied petroleum gas (LPG) import terminal, built by Bharat Petroleum",https://www.business-standard.com/article/current-affairs/latest-news-live-pm-modi-to-launch-infrastructure-projects-in-bengal-assam-today-121020700057_1.html,— Business Standard
"['Govt. to work with RBI for execution of bank privatisation plan, says Sitharaman']","
                The Finance Minister said the government had no plan to form any bank investment company to house the government stakes in banks.
            ",https://www.thehindu.com/business/Economy/govt-to-work-with-rbi-for-execution-of-bank-privatisation-plan-says-sitharaman/article33774519.ece,— The Hindu Business
"[""One of Netaji's relics at ongoing Victoria Memorial exhibition fake: Expert""]","Netaji Research Bureau chairperson Sugata Bose has shot off a letter to the Victoria Memorial authorities, claiming that one of the relics at an ongoing exhibition at the museum is fake",https://www.business-standard.com/article/current-affairs/one-of-netaji-s-relics-at-ongoing-victoria-memorial-exhibition-fake-expert-121020700498_1.html,— Business Standard
['Brookfield India Real Estate Trust IPO Subscribed 8 Times'],"The Canadian alternative investment major Brookfield Asset Management-backed IPO was oversubscribed by nearly 12 times in the retail investors' category, 5 times in the institutional investors'...",https://www.ndtv.com/business/brookfield-india-real-estate-trust-initial-public-offering-ipo-subscribed-8-times-2365100,— NDTV Business
['Chamoli floods LIVE: 3 bodies recovered; at least 150 labourers feared dead'],"Centre will extend all possible help to Uttarakhand government to tackle flood situation, says Home Minister Amit Shah",https://www.business-standard.com/article/current-affairs/latest-news-live-pm-modi-to-launch-infrastructure-projects-in-bengal-assam-today-121020700057_1.html,— Business Standard
"['Long & Short of Markets: Post-Budget stock ideas, 8 red flags & new dimensions of value investing']",Hunt for post-Budget stock ideas with help from Raamdeo Agrawal and Sunil Singhania.,https://economictimes.indiatimes.com/markets/stocks/news/long-short-of-markets-post-budget-stock-ideas-8-red-flags-new-dimensions-of-value-investing/articleshow/80732214.cms,— Economic Times
['Centre To Offload Stake In Wapcos Through Primary Market Offering'],"""The government intends to disinvest up to 25 per cent paid-up equity share capital of WAPCOS out of its shareholding of 100 per cent, through an initial public offering in the domestic market,"" DIPAM...",https://www.ndtv.com/business/centre-to-offload-stake-in-wapcos-through-primary-market-offering-2365088,— NDTV Business
"[""Tweet Buster: How to beat Nifty with Nifty stocks? Porinju's new favourite""]","Money manager Kalpen Parekh shared a strategy to beat Nifty, while smallcap hunter Porinju Veliyath revealed his favourite sector following the Budget announcements.",https://economictimes.indiatimes.com/markets/stocks/news/tweet-buster-how-to-beat-nifty-with-nifty-stocks-porinjus-new-favourite/articleshow/80732765.cms,— Economic Times
"['Uttarakhand Floods: 4 Hydropower units face damage, other dams on alert']",Executives with NTPC Limited said the under construction Lata Tapovan hydro power project (520 Mw) has faced some damages in the mishap,https://www.business-standard.com/article/current-affairs/uttarakhand-floods-4-hydropower-units-face-damage-other-dams-on-alert-121020700467_1.html,— Business Standard
['Ahead of Market: 12 things that will decide stock action on Monday'],"India VIX moved up 1.28% from 23.12 to 23.41 level. Now, VIX needs to cool down and hold below 20 zone for continuation of the ongoing momentum with a higher market base.",https://economictimes.indiatimes.com/markets/stocks/news/ahead-of-market-12-things-that-will-decide-stock-action-on-monday/articleshow/80733396.cms,— Economic Times
['BQ Big Decisions: Have ULIPs Lost Their Glimmer After Budget 2021?'], ULIPs were being pitched as alternatives to mutual fund investments. They may have lost some of their allure though.,https://www.bloombergquint.com/business/bq-big-decisions-have-ulips-lost-their-glimmer-after-budget-2021,— Bloomberg Quint
"[""MFs' selling spree continues, pull out Rs 12,980 cr from equities in Jan""]","Continuing the selling spree for the eighth consecutive month, mutual funds pulled out Rs 12,980 crore from equities in January as surge in markets provided an opportunity to book profits.",https://www.business-standard.com/article/markets/mfs-selling-spree-continues-pull-out-rs-12-980-cr-from-equities-in-jan-121020700425_1.html,— Business Standard
"['ITC plans digital switch by crowd-sourcing systems, setting up core group']","The core council, called DigiNext, will be led by chairman Sanjiv Puri to ideate and sponsor high impact digital interventions and harness synergies",https://www.business-standard.com/article/companies/itc-plans-digital-switch-by-crowd-sourcing-systems-setting-up-core-group-121020700433_1.html,— Business Standard
['World Coronavirus Dispatch: Varied regulatory decisions on Oxford vaccine'],"Facebook strangers in Hong Kong help ease Covid pain, why the vaccinated still need to wear a mask, WHO plans vaccine nods for global roll-out and other pandemic-related news around the globe",https://www.business-standard.com/article/current-affairs/world-coronavirus-dispatch-varied-regulatory-decisions-on-oxford-vaccine-121020700406_1.html,— Business Standard
"[""Modi takes stock of Uttarakhand floods, says praying for everyone's safety""]","Narendra Modi on Sunday reviewed the situation in Uttarakhand following floods caused by a glacier burst at Joshimath in Chamoli district, and took stock of the rescue and relief work underway.",https://www.business-standard.com/article/current-affairs/modi-takes-stock-of-uttarakhand-floods-says-praying-for-everyone-s-safety-121020700389_1.html,— Business Standard
"['DATA STORY: India reports 78 Covid deaths, fewest in a day since May 2']","176 active Covid cases added in first daily net increase since Jan 7; with 358,473 vaccinations, India has so far inoculated 5,775,322 people - 53.34% of total caseload, and 0.416% of population",https://www.business-standard.com/article/current-affairs/data-story-india-reports-78-covid-deaths-fewest-in-a-day-since-may-2-121020700382_1.html,— Business Standard
"['The week that was: Financial, infra stocks rule the roost as earnings, RBI policy contribute to rally']",A good earnings performance by some companies and the RBI's policy tweaks also contributed to the rally. ,https://economictimes.indiatimes.com/markets/stocks/news/the-week-that-was-banks-infra-rule-the-roost-as-earnings-rbi-policy-contribute-to-rally/articleshow/80733429.cms,— Economic Times
"[""LIVE: Won't be just a govt-run DFI, pvt sector will play key role, says FM""]","Latest News LIVE updates: 'Work for AIIMS in Guwahati is going on in full swing', said PM Narendra Modi",https://www.business-standard.com/article/current-affairs/latest-news-live-pm-modi-to-launch-infrastructure-projects-in-bengal-assam-today-121020700057_1.html,— Business Standard
"[""ETMarkets Investors' Guide: Regret not buying PSU bank stocks? Find out if it's too late""]",,https://economictimes.indiatimes.com/markets/stocks/etmarkets-podcast/etmarkets-investors-guide-regret-not-buying-psu-bank-stocks-find-out-if-its-too-late/podcast/80733431.cms,— Economic Times
"['Avalanche In Uttarakhand’s Chamoli District Triggers Flood, 150 Labourers Missing']"," A glacier broke off in Joshimath in Uttarakhand’s Chamoli district, causing a massive flood in the Dhauli Ganga river.",https://www.bloombergquint.com/business/avalanche-in-uttarakhands-chamoli-district-triggers-flood-150-labourers-missing,— Bloomberg Quint
"['FPIs remain net buyers at Rs 12,266 cr in first 5 trading sessions of Feb']","Overseas investors pumped in a net Rs 10,793 crore into equities and Rs 1,473 crore in the debt segment between February 1-5",https://www.business-standard.com/article/economy-policy/fpis-remain-net-buyers-at-rs-12-266-cr-in-first-5-trading-sessions-of-feb-121020700332_1.html,— Business Standard
"[""Several feared missing as glacier breaks in Uttarakhand's Joshimath""]","Several labourers working at the Rishi Ganga hydroelectric power project were feared missing after a glacier broke in Dhauli Ganga valley in Joshimath on Sunday morning, sources said.",https://www.business-standard.com/article/current-affairs/several-feared-missing-as-glacier-breaks-in-uttarakhand-s-joshimath-121020700296_1.html,— Business Standard
['Day trading guide for Monday'],"A throwback from the 15,000 zone could attract mild retracement if the index fails to sustain above 14,900, according to Amit Trivedi of YES Securities.",https://economictimes.indiatimes.com/markets/stocks/news/tech-view-after-5-day-upmove-niftys-daily-range-shrinks-as-it-approaches-15000/articleshow/80732792.cms,— Economic Times
"[""Want to go long on auto? Here are Kunal Bothra's top picks""]","Tata Motors and M&M are ideal candidates for a much long-term trend on the upside, says Kunal Bothra of kunalbothra.co.in.",https://economictimes.indiatimes.com/markets/expert-view/lupin-could-be-in-focus-over-next-1-2-weeks-kunal-bothra/articleshow/80731988.cms,— Economic Times
['India’s rating shouldn’t come under pressure due to higher deficit: DEA Secretary'],"
                Given the credibility of the numbers projected in the Budget, Tarun Bajaj hoped that the global rating agencies would retain India’s sovereign rating at the existing levels.
            ",https://www.thehindu.com/business/indias-rating-shouldnt-come-under-pressure-due-to-higher-deficit-dea-secretary/article33773235.ece,— The Hindu Business
"[""LIVE: PM Narendra Modi to launch 'Asom Mala' programme in Assam""]",Latest News LIVE updates: PM Narendra Modi will be visiting Assam and West Bengal on Sunday to launch several infrastructure projects,https://www.business-standard.com/article/current-affairs/latest-news-live-pm-modi-to-launch-infrastructure-projects-in-bengal-assam-today-121020700057_1.html,— Business Standard
"[""Higher deficit shouldn't put pressure on India's sovereign rating: DEA Secy""]","India's sovereign rating should not come under pressure due to surge in fiscal deficit which was mainly on account of higher expenditure to deal with the C-19 pandemic, said Economic Affairs Secretary",https://www.business-standard.com/article/economy-policy/higher-deficit-shouldn-t-put-pressure-on-india-s-rating-dea-secy-121020700168_1.html,— Business Standard
['India’s Coal Import Rises 15% In December'], India's coal import rose 15.1% to 23.63 million tonnes in December 2020.,https://www.bloombergquint.com/business/indias-coal-import-rises-15-in-december,— Bloomberg Quint
"['Reliance buys two-thirds of own gas from KG-D6; GAIL, Shell among buyers']","Reliance Industries has picked up two-thirds of its own new gas from KG-D6 block that was auctioned under new rules with state-owned GAIL and Royal Dutch Shell getting smaller volumes, sources said.",https://www.business-standard.com/article/companies/reliance-buys-two-thirds-of-own-gas-from-kg-d6-gail-shell-among-buyers-121020700184_1.html,— Business Standard
['11 Merchant Bankers In Fray For Managing Government’s Stake Sale In Tata Communications']," Government will sell its entire stake in Tata Communications through an offer-for-sale and strategic sale route by March 20, 2021.",https://www.bloombergquint.com/business/11-merchant-bankers-in-fray-for-managing-governments-stake-sale-in-tata-communications,— Bloomberg Quint
['Watch | Who is Andy Jassy?'],"
                A video on Andy Jassy, the next CEO of Amazon.
            ",https://www.thehindu.com/sci-tech/technology/who-is-andy-jassy/article33773154.ece,— The Hindu Business
"['Major Port Trusts, AAI Out Of The Scope Of Strategic Divestment Policy']"," Railways and posts, that undertake commercial operations with a development mandate would not be within the scope of PSE policy.",https://www.bloombergquint.com/economy-finance/major-port-trusts-aai-out-of-the-scope-of-strategic-divestment-policy,— Bloomberg Quint
['Thinkpad: Old Ideas. ___ Outcomes.'], This week’s Thinkpad is a sort of fill-in-the-blank. Old ideas will lead to ______ outcomes? We await your response!,https://www.bloombergquint.com/business/thinkpad-old-ideas-___-outcomes,— Bloomberg Quint
"[""'We want democracy': Thousands protest Myanmar coup for second day""]","Myanmar's military seized power in the early hours of Monday, bringing the Southeast Asian nation's troubled democratic transition to a sudden halt and drawing international outrage",https://www.business-standard.com/article/international/we-want-democracy-thousands-protest-myanmar-coup-for-second-day-121020700202_1.html,— Business Standard
"['Magma Fincorp to raise up to Rs 3,000 crore next fiscal year']","The company's board approved a proposal to issue debt securities in the nature of non-convertible debt securities for an amount up to Rs 3,000 crore.",https://economictimes.indiatimes.com/markets/stocks/news/magma-fincorp-to-raise-up-to-rs-3000-crore-next-fiscal-year/articleshow/80731297.cms,— Economic Times
"[""Banks steal the show as top 10 firms' market value surges by Rs 5 lakh crore in a week""]","HDFC Bank was the biggest gainer from the pack, as its market valuation jumped by Rs 1,13,516.92 crore to Rs 8,79,735.51 crore.",https://economictimes.indiatimes.com/markets/stocks/news/banks-steal-the-show-as-top-10-firms-market-value-surges-by-rs-5-lakh-crore-in-a-week/articleshow/80731253.cms,— Economic Times
"['Markets to be driven by quarterly results this week, say analysts']","Stock markets would be driven by quarterly results and global factors this week amid lack of any major economic event, say analysts.",https://www.business-standard.com/article/markets/markets-to-be-driven-by-quarterly-results-this-week-say-analysts-121020700141_1.html,— Business Standard
"['Q3 earnings, FII flow, macro data among key factors likely to drive Dalal Street this week']",A huge number of smaller companies along with some major ones are lined up to announce their financial results. ,https://economictimes.indiatimes.com/markets/stocks/news/q3-earnings-fii-flow-macro-data-key-factors-to-guide-market-this-week/articleshow/80731116.cms,— Economic Times
['Tanla Platforms Q3 profit jumps multifold to Rs 94 crore'],Tanla had to develop new platforms as per the Telecom Commercial Communications Customer Preference Regulations of telecom regulator Trai.,https://economictimes.indiatimes.com/markets/stocks/earnings/tanla-platforms-q3-profit-jumps-multi-folds-to-rs-94-crore/articleshow/80731052.cms,— Economic Times
"['Petrol, Diesel Prices Remain Unchanged On Sunday']","The price of petrol was unchanged at Rs 86.95 per litre and diesel rate was untouched at Rs 77.13 per litre in Delhi, according to Indian Oil Corporation",https://www.ndtv.com/business/petrol-diesel-price-today-petrol-diesel-prices-remain-unchanged-on-sunday-check-latest-rates-here-2364911,— NDTV Business
"[""Can influx of high-tech industry transform Texas into 'new Silicon Valley'?""]","If Silicon Valley loses its marquee status, it will almost certainly give way to several hubs in Texas",https://www.business-standard.com/article/international/can-influx-of-high-tech-industry-transform-texas-into-new-silicon-valley-121020700134_1.html,— Business Standard
['BofA divided as bankers cry foul over special bonus treatment'],"Initially, the bank planned to apply the new pay structure broadly. But veterans in investment banking and trading revolted upon hearing they’d have to stay through 2024 to reap bonuses for 2020, and management agreed to exempt them.",https://economictimes.indiatimes.com/markets/stocks/news/bofa-divided-as-bankers-cry-foul-over-special-bonus-treatment/articleshow/80730776.cms,— Economic Times
['Robinhood traders have a troubled track record of stock picking'],"Picking stocks is hard. Almost nobody has an edge, and it’s no mark of shame when a call fails to pan out.",https://economictimes.indiatimes.com/markets/stocks/news/robinhood-traders-have-a-troubled-track-record-of-stock-picking/articleshow/80730696.cms,— Economic Times
['Stock bulls turn to earnings after Budget-sparked rally'],"With India’s daily new Covid-19 infections slowing and the vaccination drive gaining pace, analysts are betting on a stronger rebound in the economy and corporate profits in the months ahead.",https://economictimes.indiatimes.com/markets/stocks/news/stock-bulls-turn-to-earnings-after-budget-sparked-rally/articleshow/80730562.cms,— Economic Times
"['Buffeted by Centre and State, General Motors threatens legal action']","
                A year after announcing plans to sell its Talegaon plant, automaker rejects Maharashtra government’s order to continue operations
            ",https://www.thehindu.com/business/Industry/buffeted-by-centre-and-state-gm-threatens-legal-action/article33770765.ece,— The Hindu Business
"['Explained | What are one-person companies, and why do we need them? ']","
                How will the Budget 2021 announcements on one-person companies help startups and non-resident Indians? 
            ",https://www.thehindu.com/business/Industry/the-hindu-explains-what-are-one-person-companies-and-why-do-we-need-them/article33770849.ece,— The Hindu Business
['Explained | Can a ‘bad bank’ solve the growing NPA crisis?'],"
                What is the Budget proposal on non-performing assets, and can it help recapitalise public sector banks? 
            ",https://www.thehindu.com/business/Economy/the-hindu-explains-can-a-bad-bank-solve-the-growing-npa-crisis/article33770951.ece,— The Hindu Business
"['Indian economy is witnessing V-shaped recovery, says Anurag Thakur']","Indian economy is witnessing a V-shaped recovery after challenges posed by Covid-19 pandemic, Minister of State for Finance Anurag Thakur said on Saturday.",https://www.business-standard.com/article/current-affairs/indian-economy-is-witnessing-v-shaped-recovery-says-anurag-thakur-121020601426_1.html,— Business Standard
['Did Covid-19 come from Wuhan seafood market? Investigators find fresh clues'],"Worldwide, Covid-19 has caused more than 105.7 million infections and 2.3 million deaths",https://www.business-standard.com/article/current-affairs/did-covid-19-come-from-wuhan-seafood-market-investigators-find-fresh-clues-121020700049_1.html,— Business Standard
['Mills association seeks rollback of duty  on cotton imports'],"
                ‘Levy will lead to higher import of garments, escalate prices’
            ",https://www.thehindu.com/business/mills-association-seeks-rollback-of-duty-on-cotton-imports/article33770788.ece,— The Hindu Business
['Risk of sharp deterioration in private banks’ asset quality has receded: Moody’s '],"
                ‘Asset performance at top 5 private banks better than expected in period till Dec.’
            ",https://www.thehindu.com/business/risk-of-sharp-deterioration-in-private-banks-asset-quality-has-receded-moodys/article33770778.ece,— The Hindu Business
['‘Millennials keen on holidaying abroad’'],"
                Vaccines boost confidence: Survey
            ",https://www.thehindu.com/business/Industry/52-millennials-keen-on-international-holiday-this-summer-survey/article33770148.ece,— The Hindu Business
